name,description
R_MAC_55_n8,"R_MAC_55_n8 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 55, carbon budget 55, climate scenario, emission target 55, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_60_n0,"R_MAC_60_n0 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 60, carbon budget 60, climate scenario, emission target 60, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_60_n8,"R_MAC_60_n8 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 60, carbon budget 60, climate scenario, emission target 60, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_65_n0,"R_MAC_65_n0 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 65, carbon budget 65, climate scenario, emission target 65, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_65_n8,"R_MAC_65_n8 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 65, carbon budget 65, climate scenario, emission target 65, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_70_n0,"R_MAC_70_n0 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 70, carbon budget 70, climate scenario, emission target 70, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_70_n8,"R_MAC_70_n8 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 70, carbon budget 70, climate scenario, emission target 70, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_75_n0,"R_MAC_75_n0 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 75, carbon budget 75, climate scenario, emission target 75, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_75_n8,"R_MAC_75_n8 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 75, carbon budget 75, climate scenario, emission target 75, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_80_n0,"R_MAC_80_n0 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 80, carbon budget 80, climate scenario, emission target 80, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_80_n8,"R_MAC_80_n8 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 80, carbon budget 80, climate scenario, emission target 80, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_85_n0,"R_MAC_85_n0 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 85, carbon budget 85, climate scenario, emission target 85, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_85_n8,"R_MAC_85_n8 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 85, carbon budget 85, climate scenario, emission target 85, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_90_n0,"R_MAC_90_n0 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 90, carbon budget 90, climate scenario, emission target 90, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_90_n8,"R_MAC_90_n8 envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 90, carbon budget 90, climate scenario, emission target 90, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_95_n0,"R_MAC_95_n0 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 95, carbon budget 95, climate scenario, emission target 95, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_95_n8,"R_MAC_95_n8 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 95, carbon budget 95, climate scenario, emission target 95, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
R_MAC_99_n0,"R_MAC_99_n0 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 99, carbon budget 99, climate scenario, emission target 99, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n0, policy scenario, r, technology scenario"
R_MAC_99_n8,"R_MAC_99_n8 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 99, carbon budget 99, climate scenario, emission target 99, emissions pathway, energy transition, global model scenario, mac, mitigation pathway, n8, policy scenario, r, technology scenario"
SSP1-DACCS-1p9-3pctHR,"SSP1-DACCS-1p9-3pctHR envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1p9, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1-DACCS-2p6-3pctHR,"SSP1-DACCS-2p6-3pctHR represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1-highcostDACCS-2p6-3pctHR,"SSP1-highcostDACCS-2p6-3pctHR portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, highcostdaccs, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1-lowcostDACCS-2p6-3pctHR,"SSP1-lowcostDACCS-2p6-3pctHR illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, lowcostdaccs, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1-noDACCS-1p9-3pctHR,"SSP1-noDACCS-1p9-3pctHR illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 1p9, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1-noDACCS-2p6-3pctHR,"SSP1-noDACCS-2p6-3pctHR represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP2-DACCS-2p6-3pctHR,"SSP2-DACCS-2p6-3pctHR describes a future shaped by complex interactions between development patterns and climate challenges. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 2, ssp2, technology scenario"
SSP2-noDACCS-2p6-3pctHR,"SSP2-noDACCS-2p6-3pctHR illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 2, ssp2, technology scenario"
SSP4-DACCS-1p9-3pctHR,"SSP4-DACCS-1p9-3pctHR illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1p9, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP4-DACCS-2p6-3pctHR,"SSP4-DACCS-2p6-3pctHR portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP4-highcostDACCS-2p6-3pctHR,"SSP4-highcostDACCS-2p6-3pctHR represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, highcostdaccs, mitigation pathway, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP4-medcostDACCS-2p6-3pctHR,"SSP4-medcostDACCS-2p6-3pctHR describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, medcostdaccs, mitigation pathway, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP4-noDACCS-1p9-3pctHR,"SSP4-noDACCS-1p9-3pctHR envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1p9, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP4-noDACCS-2p6-3pctHR,"SSP4-noDACCS-2p6-3pctHR portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP5-DACCS-1p9-3pctHR,"SSP5-DACCS-1p9-3pctHR represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1p9, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 5, ssp5, technology scenario"
SSP5-DACCS-2p6-3pctHR,"SSP5-DACCS-2p6-3pctHR portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, daccs, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 5, ssp5, technology scenario"
SSP5-noDACCS-2p6-3pctHR,"SSP5-noDACCS-2p6-3pctHR describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 2p6, 3pcthr, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, global model scenario, mitigation pathway, nodaccs, policy scenario, shared socioeconomic pathway 5, ssp5, technology scenario"
SSP_SSP1,"SSP_SSP1 portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway , shared socioeconomic pathway 1, ssp, ssp1, technology scenario"
SSP_SSP2,"SSP_SSP2 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway , shared socioeconomic pathway 2, ssp, ssp2, technology scenario"
SSP_SSP3,"SSP_SSP3 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway , shared socioeconomic pathway 3, ssp, ssp3, technology scenario"
SSP_SSP4,"SSP_SSP4 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway , shared socioeconomic pathway 4, ssp, ssp4, technology scenario"
SSP_SSP5,"SSP_SSP5 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway , shared socioeconomic pathway 5, ssp, ssp5, technology scenario"
CO_NDCMCS,"CO_NDCMCS represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: climate scenario, co, emissions pathway, energy transition, global model scenario, mitigation pathway, national climate commitment, ndcmcs, paris pledges, policy scenario, technology scenario"
GCAM_1.5C_high_os_high-cost-DAC,"GCAM_1.5C_high_os_high-cost-DAC illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 1.5c, carbon removal, climate scenario, cost, dac, direct air capture, emissions pathway, energy transition, gcam, global model scenario, high, mitigation pathway, os, policy scenario, technology scenario"
GCAM_1.5C_high_os_low-cost-DAC,"GCAM_1.5C_high_os_low-cost-DAC represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1.5c, carbon removal, climate scenario, cost, dac, direct air capture, emissions pathway, energy transition, gcam, global model scenario, high, low, mitigation pathway, os, policy scenario, technology scenario"
GCAM_1.5C_low_os_high-cost-DAC,"GCAM_1.5C_low_os_high-cost-DAC portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 1.5c, carbon removal, climate scenario, cost, dac, direct air capture, emissions pathway, energy transition, gcam, global model scenario, high, low, mitigation pathway, os, policy scenario, technology scenario"
GCAM_1.5C_low_os_low-cost-DAC,"GCAM_1.5C_low_os_low-cost-DAC portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1.5c, carbon removal, climate scenario, cost, dac, direct air capture, emissions pathway, energy transition, gcam, global model scenario, low, mitigation pathway, os, policy scenario, technology scenario"
GCAM_1.5C_low_os_noDAC,"GCAM_1.5C_low_os_noDAC represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by examining how emissions shift under differing mitigation intensities and climate targets, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1.5c, carbon removal, climate scenario, direct air capture, emissions pathway, energy transition, gcam, global model scenario, low, mitigation pathway, nodac, os, policy scenario, technology scenario"
EN_INDCi2030_1000_COV,"EN_INDCi2030_1000_COV represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 1000, carbon budget 1000, climate scenario, cov, emission target 1000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_1000f_COV,"EN_INDCi2030_1000f_COV envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: 1000f, climate scenario, cov, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_600f_COV,"EN_INDCi2030_600f_COV portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 600f, climate scenario, cov, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2100_COV,"EN_INDCi2100_COV portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: climate scenario, cov, emissions pathway, en, energy transition, global model scenario, indci2100, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
SSP1,"SSP1 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP2,"SSP2 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 2, ssp2, technology scenario"
SSP3,"SSP3 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 3, ssp3, technology scenario"
SSP4,"SSP4 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 4, ssp4, technology scenario"
SSP5,"SSP5 illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 5, ssp5, technology scenario"
EMF33_Baseline,"EMF33_Baseline describes a future shaped by complex interactions between development patterns and climate challenges. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: baseline, climate scenario, emf33, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, technology scenario"
EMF33_tax_hi_none,"EMF33_tax_hi_none portrays an evolving global landscape shaped by shifting economic, social, and environmental pressures. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, and reflects the combined influence of technological change, resource availability, and policy direction. Keywords: climate scenario, emf33, emissions pathway, energy transition, global model scenario, hi, mitigation pathway, none, policy scenario, tax, technology scenario"
EMF33_tax_lo_none,"EMF33_tax_lo_none describes a future shaped by complex interactions between development patterns and climate challenges. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: climate scenario, emf33, emissions pathway, energy transition, global model scenario, lo, mitigation pathway, none, policy scenario, tax, technology scenario"
EN_INDCi2030_3000,"EN_INDCi2030_3000 describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, with outcomes shaped by the uptake of clean technologies, shifting market signals, and institutional decisions. Keywords: 3000, carbon budget 3000, climate scenario, emission target 3000, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_INDCi2030_3000f,"EN_INDCi2030_3000f represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 3000f, climate scenario, emissions pathway, en, energy transition, global model scenario, indci2030, mitigation pathway, national climate commitment, paris pledges, policy scenario, technology scenario"
EN_NPi2020_3000,"EN_NPi2020_3000 represents a pathway influenced by global dynamics across society, technology, and policy systems. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, and integrates sector‑specific transformations spanning power, transport, industry, and land systems. Keywords: 3000, carbon budget 3000, climate scenario, emission target 3000, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NPi2020_3000f,"EN_NPi2020_3000f illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 3000f, climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, npi2020, policy scenario, technology scenario"
EN_NoPolicy,"EN_NoPolicy illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by capturing how greenhouse‑gas trajectories evolve in response to varied ambition levels, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: climate scenario, emissions pathway, en, energy transition, global model scenario, mitigation pathway, nopolicy, policy scenario, technology scenario"
SSP1-baseline,"SSP1-baseline describes a future shaped by complex interactions between development patterns and climate challenges. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: baseline, climate scenario, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 1, ssp1, technology scenario"
SSP1_SPA1_19I_D,"SSP1_SPA1_19I_D illustrates a world undergoing structural transitions driven by long-term economic and demographic trends. It continues by evaluating the consequences for long‑term climate stabilization given the scenario’s constraints, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 19i, climate scenario, d, emissions pathway, energy transition, global model scenario, mitigation pathway, policy scenario, shared socioeconomic pathway 1, spa1, ssp1, technology scenario"
SSP1_SPA1_19I_D_LB,"SSP1_SPA1_19I_D_LB envisions a future defined by changing priorities in sustainability, development, and resource use. It continues by exploring alternative decarbonization speeds and atmospheric concentration pathways, while incorporating distinct assumptions about innovation, energy systems, and governance choices. Keywords: 19i, climate scenario, d, emissions pathway, energy transition, global model scenario, lb, mitigation pathway, policy scenario, shared socioeconomic pathway 1, spa1, ssp1, technology scenario"
SSP1_SPA1_19I_LI,"SSP1_SPA1_19I_LI describes a future shaped by complex interactions between development patterns and climate challenges. It continues by examining how emissions shift under differing mitigation intensities and climate targets, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 19i, climate scenario, emissions pathway, energy transition, global model scenario, li, mitigation pathway, policy scenario, shared socioeconomic pathway 1, spa1, ssp1, technology scenario"
SSP1_SPA1_19I_LIRE,"SSP1_SPA1_19I_LIRE describes a future shaped by complex interactions between development patterns and climate challenges. It continues by analyzing the progression of global warming outcomes under its particular policy and technology mix, where energy transitions, behavioral responses, and policy measures collectively determine system evolution. Keywords: 19i, climate scenario, emissions pathway, energy transition, global model scenario, lire, mitigation pathway, policy scenario, shared socioeconomic pathway 1, spa1, ssp1, technology scenario"
